video_name,left_pupil,right_pupil,gaze_direction
2_startRightNoCamNew5.mp4,"(739, 486)","(955, 482)",right
2_startRightNoCamNew5.mp4,"(738, 486)","(955, 482)",right
2_startRightNoCamNew5.mp4,"(740, 488)","(955, 482)",right
2_startRightNoCamNew5.mp4,"(738, 487)","(955, 482)",right
2_startRightNoCamNew5.mp4,"(737, 487)","(955, 482)",right
2_startRightNoCamNew5.mp4,"(739, 488)","(955, 482)",right
2_startRightNoCamNew5.mp4,"(739, 487)","(955, 482)",right
2_startRightNoCamNew5.mp4,"(739, 487)","(955, 482)",right
2_startRightNoCamNew5.mp4,"(738, 487)","(955, 482)",right
2_startRightNoCamNew5.mp4,"(738, 486)","(955, 482)",right
2_startRightNoCamNew5.mp4,"(739, 488)","(955, 482)",right
2_startRightNoCamNew5.mp4,"(739, 487)","(955, 482)",right
2_startRightNoCamNew5.mp4,"(739, 488)","(955, 482)",right
2_startRightNoCamNew5.mp4,"(739, 487)","(955, 483)",right
2_startRightNoCamNew5.mp4,"(739, 487)","(955, 483)",right
2_startRightNoCamNew5.mp4,"(740, 487)","(955, 483)",right
2_startRightNoCamNew5.mp4,"(739, 488)","(955, 483)",right
2_startRightNoCamNew5.mp4,"(739, 487)","(955, 482)",right
2_startRightNoCamNew5.mp4,"(739, 487)","(955, 483)",right
2_startRightNoCamNew5.mp4,"(739, 487)","(955, 482)",right
2_startRightNoCamNew5.mp4,"(739, 487)","(955, 482)",right
2_startRightNoCamNew5.mp4,"(738, 486)","(956, 482)",right
2_startRightNoCamNew5.mp4,"(738, 486)","(956, 482)",right
2_startRightNoCamNew5.mp4,"(739, 486)","(956, 482)",right
2_startRightNoCamNew5.mp4,"(738, 486)","(956, 482)",right
2_startRightNoCamNew5.mp4,"(738, 486)","(956, 482)",right
2_startRightNoCamNew5.mp4,"(738, 486)","(956, 482)",right
2_startRightNoCamNew5.mp4,"(738, 486)","(956, 482)",right
